experiment,objective,tire_set,simulation_id,final_gap,winner,A_wins,B_wins,tie,start_tire_A,start_tire_B,n_pits_A,n_pits_B,had_VSC,had_SC,mean_gap_race,std_gap_race
EXP_SH_win,win,"[1, 3]",7519,1.2000000000000055,B,0,1,0,1,3,1,2,1,0,-0.7809523809523768,1.7280925481221454
EXP_SH_win,win,"[1, 3]",7520,-0.5999999999999961,A,1,0,0,3,1,1,1,0,0,0.828571428571434,0.7362342129557222
EXP_SH_win,win,"[1, 3]",7521,1.0000000000000053,B,0,1,0,1,1,3,3,0,0,1.295238095238101,1.548724879645985
EXP_SH_win,win,"[1, 3]",7522,-1.1999999999999966,A,1,0,0,1,3,1,2,0,1,0.20952380952381416,1.302709543296208
EXP_SH_win,win,"[1, 3]",7523,-0.7999999999999963,A,1,0,0,3,1,1,1,1,0,0.39047619047619536,1.2196427118919722
EXP_SH_win,win,"[1, 3]",7524,-1.9999999999999973,A,1,0,0,1,3,1,3,0,0,-1.0857142857142823,1.6999399749306892
EXP_SH_win,win,"[1, 3]",7525,1.800000000000006,B,0,1,0,1,3,1,2,0,1,-0.6476190476190439,1.2722754447273745
EXP_SH_win,win,"[1, 3]",7526,-1.9999999999999973,A,1,0,0,1,3,1,3,0,0,-1.0857142857142823,1.6796501093370377
EXP_SH_win,win,"[1, 3]",7527,-0.3999999999999959,A,1,0,0,1,3,1,1,1,0,-1.0190476190476154,0.8139375473989149
EXP_SH_win,win,"[1, 3]",7528,1.4000000000000057,B,0,1,0,1,1,3,1,0,1,-0.08571428571428134,1.0718411903892142
EXP_SH_win,win,"[1, 3]",7529,0.20000000000000462,B,0,1,0,1,3,1,1,1,1,-0.7999999999999965,0.8023774198028787
EXP_SH_win,win,"[1, 3]",7530,-1.9999999999999973,A,1,0,0,1,3,1,3,0,0,-1.1714285714285682,1.6204475740165305
EXP_SH_win,win,"[1, 3]",7531,-1.9999999999999973,A,1,0,0,1,3,1,3,0,0,-1.2095238095238063,1.5777937465258152
EXP_SH_win,win,"[1, 3]",7532,-2.9999999999999982,A,1,0,0,1,3,1,1,0,0,-0.9142857142857107,1.5301060387423882
EXP_SH_win,win,"[1, 3]",7533,-3.5999999999999988,A,1,0,0,1,3,1,1,0,0,-1.0380952380952346,1.660314425321213
EXP_SH_win,win,"[1, 3]",7534,-2.3999999999999977,A,1,0,0,1,3,1,3,0,0,-1.276190476190473,1.5448546739803148
EXP_SH_win,win,"[1, 3]",7535,-2.799999999999998,A,1,0,0,1,1,1,1,1,0,-2.1333333333333306,1.2225396413217764
EXP_SH_win,win,"[1, 3]",7536,1.4000000000000057,B,0,1,0,1,3,1,2,0,1,-0.9619047619047583,1.0790102124395093
EXP_SH_win,win,"[1, 3]",7537,-0.9999999999999964,A,1,0,0,1,3,2,2,1,1,-0.5333333333333294,1.1098405433872176
EXP_SH_win,win,"[1, 3]",7538,-2.799999999999998,A,1,0,0,1,3,1,1,1,0,-0.2476190476190434,1.1611238593621473
EXP_SH_win,win,"[1, 3]",7539,-0.7999999999999963,A,1,0,0,1,1,3,3,0,0,-1.2285714285714253,1.4132511848799667
EXP_SH_win,win,"[1, 3]",7540,-3.999999999999999,A,1,0,0,1,1,1,3,1,0,-2.028571428571426,1.2547596457917691
EXP_SH_win,win,"[1, 3]",7541,-2.3999999999999977,A,1,0,0,1,3,1,2,1,0,-1.0571428571428536,0.8925999629607612
EXP_SH_win,win,"[1, 3]",7542,0.600000000000005,B,0,1,0,1,3,1,1,1,0,-1.0761904761904726,0.6968669763781612
EXP_SH_win,win,"[1, 3]",7543,4.440892098500626e-15,B,0,1,0,1,3,1,1,0,0,-1.1619047619047584,1.0965209877808966
EXP_SH_win,win,"[1, 3]",7544,2.2000000000000064,B,0,1,0,1,3,1,1,1,0,-0.1714285714285671,1.4199741302616216
EXP_SH_win,win,"[1, 3]",7545,-0.9999999999999964,A,1,0,0,3,3,2,6,0,0,-2.3523809523809507,1.8669096051825615
EXP_SH_win,win,"[1, 3]",7546,-0.7999999999999963,A,1,0,0,1,1,1,1,0,0,-0.952380952380949,0.9194299722778801
EXP_SH_win,win,"[1, 3]",7547,0.600000000000005,B,0,1,0,1,3,1,3,0,1,-1.2190476190476156,1.4394506384692642
EXP_SH_win,win,"[1, 3]",7548,-3.5999999999999988,A,1,0,0,1,3,1,1,1,0,-0.9809523809523772,1.5986956134296164
EXP_SH_win,win,"[1, 3]",7549,1.0000000000000053,B,0,1,0,3,3,1,1,1,0,0.314285714285719,1.1768746805014731
EXP_SH_win,win,"[1, 3]",7550,-1.3999999999999968,A,1,0,0,1,3,1,3,0,0,-0.847619047619044,1.8669096051825622
EXP_SH_win,win,"[1, 3]",7551,-1.599999999999997,A,1,0,0,1,3,1,3,0,0,-0.9809523809523772,1.7521739008114499
EXP_SH_win,win,"[1, 3]",7552,-1.9999999999999973,A,1,0,0,1,3,1,3,1,0,-1.0761904761904726,1.6942212038362494
EXP_SH_win,win,"[1, 3]",7553,-1.7999999999999972,A,1,0,0,1,3,1,3,0,0,-1.028571428571425,1.7384017994487166
EXP_SH_win,win,"[1, 3]",7554,-0.19999999999999574,A,1,0,0,1,3,1,2,0,1,-0.5047619047619007,0.8676603408708864
EXP_SH_win,win,"[1, 3]",7555,4.440892098500626e-15,B,0,1,0,3,1,1,1,0,0,0.723809523809529,0.9390495508528385
EXP_SH_win,win,"[1, 3]",7556,0.8000000000000052,B,0,1,0,1,1,3,3,0,0,1.1428571428571481,1.5761832829644538
EXP_SH_win,win,"[1, 3]",7557,-0.5999999999999961,A,1,0,0,3,1,1,1,0,0,0.6190476190476241,0.8438116736509222
EXP_SH_win,win,"[1, 3]",7558,-0.19999999999999574,A,1,0,0,1,3,1,3,0,1,-0.9428571428571393,1.7393407148827928
EXP_SH_win,win,"[1, 3]",7559,-0.9999999999999964,A,1,0,0,1,1,3,3,1,0,-1.3047619047619015,1.4244384659614686
EXP_SH_win,win,"[1, 3]",7560,-0.9999999999999964,A,1,0,0,3,3,2,2,0,0,-1.1333333333333298,1.2472191289246484
EXP_SH_win,win,"[1, 3]",7561,-1.7999999999999972,A,1,0,0,1,3,1,3,0,0,-1.0380952380952346,1.7111611736941328
EXP_SH_win,win,"[1, 3]",7562,-0.19999999999999574,A,1,0,0,1,3,1,1,1,1,-0.8952380952380915,0.8386361890571937
EXP_SH_win,win,"[1, 3]",7563,-0.9999999999999964,A,1,0,0,3,3,1,1,1,0,-0.9714285714285678,0.8886280796517626
EXP_SH_win,win,"[1, 3]",7564,4.800000000000009,B,0,1,0,1,1,3,2,1,0,1.7428571428571487,1.9896329952487017
EXP_SH_win,win,"[1, 3]",7565,0.600000000000005,B,0,1,0,1,3,1,2,1,0,-1.1904761904761871,1.4081073964400943
EXP_SH_win,win,"[1, 3]",7566,-1.599999999999997,A,1,0,0,1,3,1,3,0,0,-0.971428571428568,1.7677380912294895
EXP_SH_win,win,"[1, 3]",7567,1.2000000000000055,B,0,1,0,1,3,1,2,0,1,-0.8952380952380918,1.6383720696315467
EXP_SH_win,win,"[1, 3]",7568,1.0000000000000053,B,0,1,0,1,1,2,2,1,0,1.257142857142863,1.7305576939162688
EXP_SH_win,win,"[1, 3]",7569,-0.9999999999999964,A,1,0,0,3,3,2,6,0,0,-2.3523809523809507,1.8669096051825615
EXP_SH_win,win,"[1, 3]",7570,-1.7999999999999972,A,1,0,0,1,3,1,3,0,0,-1.0761904761904728,1.6852030432716882
EXP_SH_win,win,"[1, 3]",7571,0.8000000000000052,B,0,1,0,1,3,1,1,0,0,-1.1904761904761874,0.7520795056152247
EXP_SH_win,win,"[1, 3]",7572,-1.7999999999999972,A,1,0,0,1,3,1,3,1,0,-1.1333333333333298,1.6193277068654839
EXP_SH_win,win,"[1, 3]",7573,-1.7999999999999972,A,1,0,0,1,3,1,3,0,0,-1.0761904761904728,1.6975906629564506
EXP_SH_win,win,"[1, 3]",7574,-0.9999999999999964,A,1,0,0,1,1,1,1,0,0,-1.0380952380952346,0.9105080687784481
EXP_SH_win,win,"[1, 3]",7575,-1.1999999999999966,A,1,0,0,3,3,1,1,1,0,-1.4666666666666632,1.3025006474117158
EXP_SH_win,win,"[1, 3]",7576,0.8000000000000052,B,0,1,0,3,3,2,1,0,0,1.4000000000000055,1.4302846869467243
EXP_SH_win,win,"[1, 3]",7577,-0.19999999999999574,A,1,0,0,3,3,1,6,0,1,-2.276190476190474,1.9356073888365963
EXP_SH_win,win,"[1, 3]",7578,-0.9999999999999964,A,1,0,0,1,1,3,3,0,0,-1.2476190476190443,1.4407732869536054
EXP_SH_win,win,"[1, 3]",7579,2.6000000000000068,B,0,1,0,1,1,2,1,0,0,1.6285714285714346,2.046400523368
EXP_SH_win,win,"[1, 3]",7580,-0.9999999999999964,A,1,0,0,1,1,1,1,0,0,-0.9238095238095202,0.9451151413375456
EXP_SH_win,win,"[1, 3]",7581,-3.1999999999999984,A,1,0,0,1,3,1,2,1,0,-1.4190476190476158,0.8505567071149001
EXP_SH_win,win,"[1, 3]",7582,0.8000000000000052,B,0,1,0,1,3,1,2,0,1,-0.9904761904761873,1.5729574092574385
EXP_SH_win,win,"[1, 3]",7583,-2.1999999999999975,A,1,0,0,1,3,1,3,0,0,-1.2190476190476158,1.583131028966108
EXP_SH_win,win,"[1, 3]",7584,0.20000000000000462,B,0,1,0,1,3,1,2,0,1,-1.0666666666666633,1.516051680653632
EXP_SH_win,win,"[1, 3]",7585,1.800000000000006,B,0,1,0,1,3,1,2,1,1,0.476190476190481,0.9980479814330733
EXP_SH_win,win,"[1, 3]",7586,0.20000000000000462,B,0,1,0,1,1,3,1,0,1,0.40952380952381434,1.013200850630724
EXP_SH_win,win,"[1, 3]",7587,-5.0,A,1,0,0,3,3,1,6,1,0,-2.542857142857141,1.9224417580059938
EXP_SH_win,win,"[1, 3]",7588,-0.9999999999999964,A,1,0,0,3,3,2,6,0,0,-2.3523809523809507,1.8669096051825615
EXP_SH_win,win,"[1, 3]",7589,1.6000000000000059,B,0,1,0,1,3,1,2,0,1,0.09523809523809976,1.2322941015985065
EXP_SH_win,win,"[1, 3]",7590,0.8000000000000052,B,0,1,0,3,3,2,1,0,0,1.3523809523809578,1.4811896915973777
EXP_SH_win,win,"[1, 3]",7591,-0.9999999999999964,A,1,0,0,3,3,2,2,0,0,-1.1619047619047587,1.235381641620725
EXP_SH_win,win,"[1, 3]",7592,0.8000000000000052,B,0,1,0,1,3,1,2,1,1,-0.8476190476190439,0.9757141695135777
EXP_SH_win,win,"[1, 3]",7593,-1.9999999999999973,A,1,0,0,1,3,1,3,0,0,-1.1619047619047584,1.646490116950425
EXP_SH_win,win,"[1, 3]",7594,0.8000000000000052,B,0,1,0,1,1,4,1,0,1,-0.10476190476190042,1.2041500422551341
EXP_SH_win,win,"[1, 3]",7595,-2.799999999999998,A,1,0,0,1,3,1,3,0,0,-1.4190476190476158,1.4901642758974603
EXP_SH_win,win,"[1, 3]",7596,4.440892098500626e-15,B,0,1,0,1,3,1,1,0,0,-1.2380952380952348,0.654999956725692
