experiment,objective,tire_set,simulation_id,final_gap,winner,A_wins,B_wins,tie,start_tire_A,start_tire_B,n_pits_A,n_pits_B,had_VSC,had_SC,mean_gap_race,std_gap_race
EXP_SM_win,win,"[1, 2]",45,-1.599999999999997,A,1,0,0,1,2,1,3,0,0,-0.9999999999999964,1.6364886917101635
EXP_SM_win,win,"[1, 2]",46,-0.7999999999999963,A,1,0,0,1,2,1,3,0,0,-0.8190476190476155,1.8329313102810543
EXP_SM_win,win,"[1, 2]",47,2.2000000000000064,B,0,1,0,1,2,1,2,1,0,-0.6285714285714248,1.8805123053604968
EXP_SM_win,win,"[1, 2]",48,4.440892098500626e-15,B,0,1,0,2,1,1,1,1,0,1.3619047619047675,1.0612105354045052
EXP_SM_win,win,"[1, 2]",49,-3.1999999999999984,A,1,0,0,1,1,2,3,0,0,-1.0190476190476159,1.817276624805856
EXP_SM_win,win,"[1, 2]",50,0.20000000000000462,B,0,1,0,2,1,2,1,0,1,1.3238095238095293,1.1066486352108609
EXP_SM_win,win,"[1, 2]",51,-0.19999999999999574,A,1,0,0,2,1,1,1,0,0,1.3619047619047675,1.0521977862578393
EXP_SM_win,win,"[1, 2]",52,-1.1999999999999966,A,1,0,0,2,1,1,1,1,0,0.2666666666666713,0.7285558666249635
EXP_SM_win,win,"[1, 2]",53,-0.9999999999999964,A,1,0,0,1,2,1,3,0,0,-0.885714285714282,1.779857060682849
EXP_SM_win,win,"[1, 2]",54,-3.1999999999999984,A,1,0,0,1,1,2,3,0,0,-0.971428571428568,1.8291665698169917
EXP_SM_win,win,"[1, 2]",55,-0.3999999999999959,A,1,0,0,2,1,1,1,0,1,0.9333333333333387,1.166734691894367
EXP_SM_win,win,"[1, 2]",56,-0.9999999999999964,A,1,0,0,2,1,1,2,1,1,-0.30476190476190057,0.8202648761955996
EXP_SM_win,win,"[1, 2]",57,5.000000000000009,B,0,1,0,2,1,1,2,1,0,1.3047619047619101,1.8357497989276874
EXP_SM_win,win,"[1, 2]",58,-4.199999999999999,A,1,0,0,1,1,2,3,0,0,-1.2190476190476158,1.8214643631715284
